year,month,day,hour,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,registered,count
2012,6,17,2,여름,0,0,"맑음, 약간 구름 낀 흐림",22.96,26.515,56.0,6.0032,55,74
2012,4,10,2,여름,0,1,"맑음, 약간 구름 낀 흐림",14.76,17.425,71.0,8.9981,2,2
2012,3,2,14,봄,0,1,"안개, 안개 + 흐림",18.04,21.97,44.0,19.0012,176,205
2011,7,18,2,가을,0,1,"맑음, 약간 구름 낀 흐림",27.06,,83.0,15.0013,8,10
2011,9,18,4,가을,0,0,"맑음, 약간 구름 낀 흐림",18.04,21.97,77.0,15.0013,0,1
2011,6,2,14,여름,0,1,"맑음, 약간 구름 낀 흐림",31.98,33.335,24.0,22.0028,142,185
2011,1,19,1,봄,0,1,"가벼운 눈, 가벼운 비 + 천둥",9.02,11.365,93.0,8.9981,6,7
2011,7,17,15,가을,0,0,"맑음, 약간 구름 낀 흐림",33.62,37.12,43.0,19.9995,195,324
2011,1,16,9,봄,0,0,"맑음, 약간 구름 낀 흐림",9.02,10.605,51.0,16.9979,29,32
2012,1,14,23,봄,0,0,"맑음, 약간 구름 낀 흐림",6.56,7.575,47.0,15.0013,71,76
2011,11,1,19,겨울,0,1,"맑음, 약간 구름 낀 흐림",17.22,21.21,58.0,6.0032,274,313
2011,6,5,7,여름,0,0,"안개, 안개 + 흐림",24.6,29.545,73.0,16.9979,19,27
2011,6,15,4,여름,0,1,"맑음, 약간 구름 낀 흐림",20.5,24.24,63.0,19.0012,4,4
2012,1,10,17,봄,0,1,"맑음, 약간 구름 낀 흐림",17.22,21.21,38.0,16.9979,446,460
2011,12,14,9,겨울,0,1,"안개, 안개 + 흐림",12.3,16.665,61.0,0.0,230,239
2012,1,15,9,봄,0,0,"맑음, 약간 구름 낀 흐림",4.92,6.82,54.0,12.998,80,90
2011,12,19,7,겨울,0,1,"맑음, 약간 구름 낀 흐림",7.38,10.605,74.0,7.0015,187,191
2011,1,2,1,봄,0,0,"안개, 안개 + 흐림",18.04,21.97,94.0,16.9979,16,17
2012,6,7,11,여름,0,1,"맑음, 약간 구름 낀 흐림",27.06,31.06,47.0,15.0013,170,237
2012,12,11,5,겨울,0,1,"가벼운 눈, 가벼운 비 + 천둥",13.94,15.15,71.0,22.0028,40,41
2012,11,13,9,겨울,0,1,"가벼운 눈, 가벼운 비 + 천둥",13.12,15.15,81.0,22.0028,109,110
2012,11,17,7,겨울,0,0,"맑음, 약간 구름 낀 흐림",9.84,,70.0,12.998,70,78
2012,11,12,1,겨울,1,0,"맑음, 약간 구름 낀 흐림",16.4,20.455,76.0,11.0014,26,30
2012,3,6,9,봄,0,1,"맑음, 약간 구름 낀 흐림",9.02,,47.0,0.0,222,233
2012,5,16,9,여름,0,1,"안개, 안개 + 흐림",24.6,28.79,78.0,8.9981,314,347
2011,12,6,8,겨울,0,1,"안개, 안개 + 흐림",18.86,22.725,94.0,12.998,401,414
2011,2,1,12,봄,0,1,"안개, 안개 + 흐림",8.2,12.88,86.0,0.0,53,55
2011,5,12,21,여름,0,1,"맑음, 약간 구름 낀 흐림",22.96,26.515,,8.9981,192,223
2011,12,13,7,겨울,0,1,"맑음, 약간 구름 낀 흐림",6.56,8.335,80.0,11.0014,221,223
2011,7,4,0,가을,1,0,"맑음, 약간 구름 낀 흐림",26.24,28.79,83.0,8.9981,77,140
2012,4,6,16,여름,0,1,"맑음, 약간 구름 낀 흐림",20.5,24.24,22.0,27.9993,352,536
2012,2,1,15,봄,0,1,"맑음, 약간 구름 낀 흐림",24.6,31.06,35.0,19.0012,169,194
2011,4,1,8,여름,0,1,"안개, 안개 + 흐림",10.66,12.12,87.0,16.9979,198,206
2011,11,9,14,겨울,0,1,"맑음, 약간 구름 낀 흐림",21.32,25.0,48.0,11.0014,153,179
2011,12,12,14,겨울,0,1,"안개, 안개 + 흐림",13.12,16.665,53.0,8.9981,95,111
2011,7,12,23,가을,0,1,"맑음, 약간 구름 낀 흐림",31.98,35.605,52.0,0.0,59,79
2011,2,7,17,봄,0,1,"안개, 안개 + 흐림",13.12,15.91,70.0,11.0014,207,216
2012,5,12,17,여름,0,0,"안개, 안개 + 흐림",27.06,31.06,36.0,12.998,343,576
2012,3,3,0,봄,0,0,"가벼운 눈, 가벼운 비 + 천둥",14.76,18.18,93.0,6.0032,21,22
2011,3,3,2,봄,0,1,"맑음, 약간 구름 낀 흐림",8.2,8.335,27.0,31.0009,2,3
2011,5,7,20,여름,0,0,"맑음, 약간 구름 낀 흐림",22.96,26.515,43.0,8.9981,137,219
2011,2,4,16,봄,0,1,"안개, 안개 + 흐림",12.3,14.395,42.0,15.0013,91,99
2011,1,12,7,봄,0,1,"맑음, 약간 구름 낀 흐림",5.74,7.575,69.0,8.9981,54,54
2012,7,19,15,가을,0,1,"맑음, 약간 구름 낀 흐림",34.44,38.635,47.0,6.0032,226,292
2012,2,17,20,봄,0,1,"맑음, 약간 구름 낀 흐림",16.4,20.455,35.0,12.998,158,171
2012,3,11,11,봄,0,0,"맑음, 약간 구름 낀 흐림",14.76,16.665,43.0,19.0012,209,299
2012,3,6,5,봄,0,1,"맑음, 약간 구름 낀 흐림",7.38,9.09,51.0,15.0013,25,25
2012,10,13,4,겨울,0,0,"맑음, 약간 구름 낀 흐림",12.3,15.15,65.0,11.0014,9,11
2011,11,12,23,겨울,0,0,"맑음, 약간 구름 낀 흐림",16.4,20.455,58.0,11.0014,78,101
2011,4,14,8,여름,0,1,"맑음, 약간 구름 낀 흐림",17.22,21.21,58.0,11.0014,316,337
2011,10,1,15,겨울,0,0,"안개, 안개 + 흐림",17.22,21.21,71.0,19.0012,154,195
2011,10,11,15,겨울,0,1,"안개, 안개 + 흐림",24.6,28.79,78.0,11.0014,139,175
2011,4,9,22,여름,0,0,"안개, 안개 + 흐림",14.76,17.425,93.0,8.9981,66,87
2012,6,3,13,여름,0,0,"맑음, 약간 구름 낀 흐림",27.88,31.82,36.0,19.0012,421,686
2012,8,16,0,가을,0,1,"맑음, 약간 구름 낀 흐림",27.06,31.06,69.0,0.0,63,76
2012,2,2,3,봄,0,1,"안개, 안개 + 흐림",17.22,21.21,67.0,8.9981,2,2
2011,8,15,20,가을,0,1,"맑음, 약간 구름 낀 흐림",27.06,31.06,74.0,8.9981,240,285
2012,6,15,19,여름,0,1,"맑음, 약간 구름 낀 흐림",28.7,31.82,42.0,11.0014,369,467
2012,11,13,5,겨울,0,1,"안개, 안개 + 흐림",13.94,15.91,87.0,19.0012,18,18
2011,1,13,20,봄,0,1,"맑음, 약간 구름 낀 흐림",6.56,7.575,47.0,15.0013,64,64
2011,4,2,10,여름,0,0,"안개, 안개 + 흐림",14.76,17.425,57.0,11.0014,113,154
2011,3,12,11,봄,0,0,"맑음, 약간 구름 낀 흐림",13.94,15.15,49.0,22.0028,83,119
2011,9,3,15,가을,0,0,"맑음, 약간 구름 낀 흐림",29.52,34.09,70.0,11.0014,201,388
2012,3,1,21,봄,0,1,"맑음, 약간 구름 낀 흐림",17.22,21.21,47.0,31.0009,190,197
2011,5,18,2,여름,0,1,"가벼운 눈, 가벼운 비 + 천둥",21.32,25.0,94.0,15.0013,5,6
2012,6,11,23,여름,0,1,"안개, 안개 + 흐림",28.7,32.575,58.0,15.0013,72,80
2011,9,10,1,가을,0,0,"안개, 안개 + 흐림",25.42,27.275,94.0,0.0,67,83
2011,6,8,15,여름,0,1,"맑음, 약간 구름 낀 흐림",37.72,43.94,40.0,11.0014,100,128
2011,4,2,8,여름,0,0,"맑음, 약간 구름 낀 흐림",12.3,15.91,70.0,7.0015,45,55
2011,12,2,3,겨울,0,1,"맑음, 약간 구름 낀 흐림",9.02,13.635,80.0,0.0,1,1
2011,5,15,21,여름,0,0,"맑음, 약간 구름 낀 흐림",22.14,25.76,88.0,0.0,107,151
2012,9,18,9,가을,0,1,"안개, 안개 + 흐림",27.06,30.305,83.0,39.0007,266,293
2011,2,12,13,봄,0,0,"맑음, 약간 구름 낀 흐림",12.3,13.635,39.0,27.9993,103,135
2012,3,14,13,봄,0,1,"맑음, 약간 구름 낀 흐림",27.06,31.06,27.0,15.0013,197,254
2011,5,11,1,여름,0,1,"안개, 안개 + 흐림",20.5,24.24,59.0,7.0015,16,20
2011,1,10,15,봄,0,1,"안개, 안개 + 흐림",8.2,9.85,40.0,15.0013,43,45
2011,5,19,11,여름,0,1,"가벼운 눈, 가벼운 비 + 천둥",22.14,25.76,88.0,11.0014,111,164
2011,2,2,6,봄,0,1,"가벼운 눈, 가벼운 비 + 천둥",9.02,12.12,93.0,7.0015,17,18
2011,9,9,23,가을,0,1,"맑음, 약간 구름 낀 흐림",25.42,27.275,94.0,6.0032,113,148
2012,4,14,10,여름,0,0,"맑음, 약간 구름 낀 흐림",18.86,22.725,51.0,11.0014,267,406
2011,4,8,19,여름,0,1,"가벼운 눈, 가벼운 비 + 천둥",12.3,13.635,93.0,27.9993,52,53
2012,2,19,10,봄,0,0,"안개, 안개 + 흐림",10.66,12.12,52.0,16.9979,142,191
2011,8,15,10,가을,0,1,"맑음, 약간 구름 낀 흐림",27.88,31.82,69.0,19.0012,87,141
2012,12,12,15,겨울,0,1,"안개, 안개 + 흐림",13.94,17.425,46.0,7.0015,207,228
2012,6,10,18,여름,0,0,"맑음, 약간 구름 낀 흐림",33.62,36.365,38.0,15.0013,326,490
2011,2,8,1,봄,0,1,"안개, 안개 + 흐림",11.48,15.91,87.0,0.0,4,4
2012,9,10,14,가을,0,1,"맑음, 약간 구름 낀 흐림",27.06,31.06,36.0,19.0012,233,340
2011,1,16,23,봄,0,0,"안개, 안개 + 흐림",8.2,11.365,40.0,7.0015,18,18
2011,1,9,4,봄,0,0,"맑음, 약간 구름 낀 흐림",3.28,4.545,53.0,12.998,1,1
2011,6,14,21,여름,0,1,"맑음, 약간 구름 낀 흐림",24.6,31.06,56.0,19.9995,206,243
2012,8,10,15,가을,0,1,"맑음, 약간 구름 낀 흐림",32.8,37.12,52.0,30.0026,224,324
2011,2,17,20,봄,0,1,"맑음, 약간 구름 낀 흐림",19.68,23.485,59.0,22.0028,131,139
2012,6,7,3,여름,0,1,"맑음, 약간 구름 낀 흐림",20.5,24.24,77.0,7.0015,5,5
2011,5,11,15,여름,0,1,"맑음, 약간 구름 낀 흐림",26.24,31.06,41.0,0.0,131,179
2011,8,5,2,가을,0,1,"맑음, 약간 구름 낀 흐림",27.06,31.06,69.0,0.0,14,19
2012,9,13,9,가을,0,1,"맑음, 약간 구름 낀 흐림",24.6,30.305,64.0,6.0032,292,338
2012,2,4,21,봄,0,0,"가벼운 눈, 가벼운 비 + 천둥",9.84,12.12,93.0,8.9981,74,78
2011,11,10,1,겨울,0,1,"안개, 안개 + 흐림",16.4,20.455,87.0,0.0,10,11
2012,4,7,17,여름,0,0,"맑음, 약간 구름 낀 흐림",22.14,25.76,19.0,27.9993,268,567
2012,6,7,10,여름,0,1,"맑음, 약간 구름 낀 흐림",24.6,30.305,64.0,6.0032,154,210
2011,10,16,12,겨울,0,0,"맑음, 약간 구름 낀 흐림",23.78,27.275,35.0,16.9979,277,444
2012,5,12,0,여름,0,0,"맑음, 약간 구름 낀 흐림",21.32,25.0,42.0,11.0014,111,136
2011,12,7,8,겨울,0,1,"가벼운 눈, 가벼운 비 + 천둥",18.04,21.97,100.0,0.0,80,86
2011,4,9,18,여름,0,0,"안개, 안개 + 흐림",15.58,19.695,82.0,7.0015,129,177
2011,10,5,1,겨울,0,1,"맑음, 약간 구름 낀 흐림",19.68,23.485,77.0,11.0014,7,11
2011,6,8,19,여름,0,1,"맑음, 약간 구름 낀 흐림",33.62,40.15,59.0,8.9981,323,384
2012,5,8,0,여름,0,1,"안개, 안개 + 흐림",21.32,25.0,52.0,16.9979,28,38
2011,6,6,21,여름,0,1,"맑음, 약간 구름 낀 흐림",27.06,31.06,57.0,6.0032,160,189
2011,6,15,9,여름,0,1,"맑음, 약간 구름 낀 흐림",24.6,31.06,49.0,0.0,185,207
2012,9,15,23,가을,0,0,"맑음, 약간 구름 낀 흐림",22.14,25.76,60.0,0.0,182,229
2012,12,6,19,겨울,0,1,"맑음, 약간 구름 낀 흐림",10.66,12.88,60.0,12.998,360,373
2012,8,6,22,가을,0,1,"맑음, 약간 구름 낀 흐림",30.34,34.85,70.0,6.0032,157,207
2011,3,10,20,봄,0,1,"가벼운 눈, 가벼운 비 + 천둥",14.76,16.665,0.0,22.0028,29,38
2011,8,9,12,가을,0,1,"맑음, 약간 구름 낀 흐림",33.62,39.395,56.0,12.998,125,185
2012,4,12,19,여름,0,1,"맑음, 약간 구름 낀 흐림",18.86,22.725,31.0,19.9995,383,433
2011,8,6,14,가을,0,0,"맑음, 약간 구름 낀 흐림",33.62,38.635,52.0,16.9979,204,380
2012,1,12,4,봄,0,1,"가벼운 눈, 가벼운 비 + 천둥",14.76,17.425,93.0,12.998,2,2
2012,6,18,7,여름,0,1,"가벼운 눈, 가벼운 비 + 천둥",21.32,25.0,94.0,15.0013,135,145
2011,1,8,6,봄,0,0,"안개, 안개 + 흐림",6.56,8.335,74.0,11.0014,2,2
2012,12,7,21,겨울,0,1,"안개, 안개 + 흐림",14.76,18.18,93.0,7.0015,162,171
2011,10,15,4,겨울,0,0,"맑음, 약간 구름 낀 흐림",17.22,21.21,67.0,8.9981,6,6
2011,1,13,9,봄,0,1,"맑음, 약간 구름 낀 흐림",5.74,6.06,50.0,22.0028,137,139
2012,2,5,20,봄,0,0,"맑음, 약간 구름 낀 흐림",11.48,13.635,56.0,12.998,47,50
2012,6,2,20,여름,0,0,"맑음, 약간 구름 낀 흐림",25.42,31.06,35.0,19.0012,260,399
2011,9,6,6,가을,0,1,"안개, 안개 + 흐림",22.14,25.76,88.0,22.0028,72,72
2011,11,11,23,겨울,1,0,"맑음, 약간 구름 낀 흐림",12.3,15.91,45.0,6.0032,67,73
2012,2,8,17,봄,0,1,"가벼운 눈, 가벼운 비 + 천둥",9.84,12.88,87.0,7.0015,147,155
2012,10,9,4,겨울,0,1,"가벼운 눈, 가벼운 비 + 천둥",14.76,17.425,87.0,11.0014,6,7
2011,2,3,1,봄,0,1,"맑음, 약간 구름 낀 흐림",8.2,7.575,44.0,35.0008,5,5
2011,12,1,20,겨울,0,1,"맑음, 약간 구름 낀 흐림",13.94,17.425,46.0,7.0015,178,190
2011,5,4,14,여름,0,1,"맑음, 약간 구름 낀 흐림",20.5,24.24,51.0,26.0027,94,107
2011,6,1,3,여름,0,1,"맑음, 약간 구름 낀 흐림",27.88,31.82,89.0,12.998,6,6
2012,9,19,11,가을,0,1,"맑음, 약간 구름 낀 흐림",24.6,31.06,43.0,16.9979,203,247
2012,9,6,7,가을,0,1,"안개, 안개 + 흐림",28.7,33.335,84.0,7.0015,461,482
2012,5,13,13,여름,0,0,"맑음, 약간 구름 낀 흐림",27.88,31.82,54.0,16.9979,347,602
2011,3,12,4,봄,0,0,"맑음, 약간 구름 낀 흐림",9.84,11.365,65.0,16.9979,1,1
2011,6,3,2,여름,0,1,"맑음, 약간 구름 낀 흐림",22.96,26.515,43.0,15.0013,12,12
2011,11,16,4,겨울,0,1,"안개, 안개 + 흐림",18.04,21.97,100.0,15.0013,3,4
2012,12,17,2,겨울,0,1,"안개, 안개 + 흐림",15.58,19.695,94.0,0.0,4,5
2011,8,1,18,가을,0,1,"맑음, 약간 구름 낀 흐림",31.98,34.85,43.0,12.998,475,543
2011,3,10,16,봄,0,1,"가벼운 눈, 가벼운 비 + 천둥",17.22,21.21,0.0,16.9979,20,21
2012,5,11,9,여름,0,1,"맑음, 약간 구름 낀 흐림",19.68,23.485,41.0,19.9995,288,322
2011,7,15,11,가을,0,1,"맑음, 약간 구름 낀 흐림",28.7,32.575,54.0,8.9981,137,210
2011,12,13,4,겨울,0,1,"맑음, 약간 구름 낀 흐림",8.2,12.88,80.0,0.0,4,4
2011,7,10,19,가을,0,0,"맑음, 약간 구름 낀 흐림",32.8,37.12,49.0,22.0028,183,303
2011,12,16,10,겨울,0,1,"맑음, 약간 구름 낀 흐림",13.94,15.15,46.0,19.9995,122,132
2012,12,16,10,겨울,0,0,"안개, 안개 + 흐림",14.76,17.425,87.0,8.9981,215,257
2012,8,13,22,가을,0,1,"맑음, 약간 구름 낀 흐림",29.52,34.09,62.0,22.0028,148,192
2012,8,14,7,가을,0,1,"안개, 안개 + 흐림",27.06,30.305,83.0,6.0032,178,179
2012,7,13,11,가을,0,1,"안개, 안개 + 흐림",31.16,34.09,45.0,8.9981,220,288
2011,4,16,5,여름,0,0,"안개, 안개 + 흐림",15.58,19.695,87.0,19.0012,3,4
2011,1,1,11,봄,0,0,"맑음, 약간 구름 낀 흐림",14.76,16.665,81.0,19.0012,30,56
2011,7,1,15,가을,0,1,"맑음, 약간 구름 낀 흐림",33.62,34.85,21.0,16.9979,299,381
2011,5,18,23,여름,0,1,"맑음, 약간 구름 낀 흐림",21.32,25.0,94.0,6.0032,49,59
2011,4,17,15,여름,0,0,"맑음, 약간 구름 낀 흐림",22.14,25.76,,35.0008,209,388
2011,5,6,0,여름,0,1,"맑음, 약간 구름 낀 흐림",18.04,21.97,44.0,11.0014,43,56
2012,11,10,6,겨울,0,0,"맑음, 약간 구름 낀 흐림",9.84,12.88,93.0,6.0032,11,16
2011,7,18,0,가을,0,1,"맑음, 약간 구름 낀 흐림",28.7,33.335,74.0,8.9981,30,51
2011,4,1,4,여름,0,1,"안개, 안개 + 흐림",9.84,11.365,93.0,16.9979,3,3
2012,7,2,15,가을,0,1,"맑음, 약간 구름 낀 흐림",34.44,37.12,36.0,12.998,175,234
2012,5,6,14,여름,0,0,"안개, 안개 + 흐림",24.6,30.305,64.0,7.0015,292,518
2011,9,1,22,가을,0,1,"안개, 안개 + 흐림",27.06,31.06,57.0,15.0013,145,179
2011,2,13,8,봄,0,0,"안개, 안개 + 흐림",9.02,11.365,64.0,12.998,11,12
2011,7,11,7,가을,0,1,"맑음, 약간 구름 낀 흐림",28.7,33.335,74.0,16.9979,289,317
2012,3,12,22,봄,0,1,"안개, 안개 + 흐림",22.96,26.515,56.0,15.0013,116,133
2011,6,6,1,여름,0,1,"맑음, 약간 구름 낀 흐림",24.6,,83.0,8.9981,5,14
2012,10,2,5,겨울,0,1,"안개, 안개 + 흐림",22.96,26.515,83.0,8.9981,42,43
2012,6,9,14,여름,0,0,"맑음, 약간 구름 낀 흐림",33.62,34.85,23.0,12.998,354,593
2012,2,19,13,봄,0,0,"맑음, 약간 구름 낀 흐림",12.3,15.15,,11.0014,197,261
2011,4,9,10,여름,0,0,"안개, 안개 + 흐림",13.94,16.665,87.0,8.9981,90,133
2011,7,12,8,가을,0,1,"맑음, 약간 구름 낀 흐림",31.16,35.605,58.0,15.0013,382,417
2012,3,2,23,봄,0,1,"안개, 안개 + 흐림",14.76,18.94,87.0,0.0,19,23
2012,11,9,1,겨울,0,1,"맑음, 약간 구름 낀 흐림",13.12,15.15,53.0,19.0012,17,20
2012,1,5,4,봄,0,1,"안개, 안개 + 흐림",8.2,11.365,59.0,6.0032,5,5
2012,8,3,11,가을,0,1,"안개, 안개 + 흐림",34.44,39.395,49.0,19.0012,186,263
2012,6,10,12,여름,0,0,"맑음, 약간 구름 낀 흐림",33.62,35.605,30.0,0.0,329,502
2012,1,13,19,봄,0,1,"맑음, 약간 구름 낀 흐림",10.66,12.12,38.0,19.0012,199,206
2011,10,13,18,겨울,0,1,"가벼운 눈, 가벼운 비 + 천둥",25.42,28.79,83.0,16.9979,248,268
2012,12,2,5,겨울,0,0,"안개, 안개 + 흐림",10.66,15.15,93.0,0.0,7,8
2011,3,18,21,봄,0,1,"맑음, 약간 구름 낀 흐림",25.42,31.06,46.0,7.0015,91,113
2011,3,12,0,봄,0,0,"맑음, 약간 구름 낀 흐림",10.66,13.635,60.0,8.9981,30,34
2012,2,19,1,봄,0,0,"안개, 안개 + 흐림",13.12,15.15,39.0,16.9979,62,72
2012,9,19,20,가을,0,1,"맑음, 약간 구름 낀 흐림",21.32,25.0,48.0,11.0014,378,409
2011,8,12,2,가을,0,1,"맑음, 약간 구름 낀 흐림",25.42,31.06,57.0,12.998,15,15
2011,2,3,0,봄,0,1,"맑음, 약간 구름 낀 흐림",8.2,8.335,40.0,30.0026,11,12
2012,5,7,20,여름,0,1,"맑음, 약간 구름 낀 흐림",22.14,,52.0,19.0012,277,323
2012,7,18,10,가을,0,1,"맑음, 약간 구름 낀 흐림",36.9,42.425,42.0,12.998,99,138
2012,10,14,7,겨울,0,0,"맑음, 약간 구름 낀 흐림",17.22,21.21,82.0,15.0013,44,51
2012,5,10,14,여름,0,1,"맑음, 약간 구름 낀 흐림",22.96,26.515,37.0,27.9993,186,247
2012,11,18,23,겨울,0,0,"맑음, 약간 구름 낀 흐림",14.76,17.425,66.0,15.0013,53,59
2011,10,7,5,겨울,0,1,"맑음, 약간 구름 낀 흐림",17.22,21.21,82.0,0.0,24,27
2012,3,7,0,봄,0,1,"맑음, 약간 구름 낀 흐림",11.48,12.88,65.0,19.0012,12,15
2012,5,11,23,여름,0,1,"맑음, 약간 구름 낀 흐림",22.14,25.76,37.0,12.998,142,180
2012,12,6,10,겨울,0,1,"맑음, 약간 구름 낀 흐림",9.84,11.365,52.0,12.998,122,145
2011,10,10,8,겨울,1,0,"맑음, 약간 구름 낀 흐림",21.32,25.0,83.0,0.0,227,254
2011,11,9,3,겨울,0,1,"맑음, 약간 구름 낀 흐림",13.12,17.425,93.0,0.0,4,4
2012,7,6,15,가을,0,1,"맑음, 약간 구름 낀 흐림",37.72,40.91,29.0,12.998,206,285
2012,4,4,23,여름,0,1,"맑음, 약간 구름 낀 흐림",21.32,25.0,23.0,27.9993,112,131
